Lifeform,Taxon,TPLName,family,order,class,clade,group,F,K,L,N,R,T
Hemicryptophyte,Kobresia myosuroides,Kobresia myosuroides,Cyperaceae,Poales,Liliopsida,Monocots,Angiosperms,5,6,8,3,7,3
Hemicryptophyte,Koeleria crassipes,Koeleria crassipes,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,5,5,8,3,6,6
Hemicryptophyte,Koeleria pyramidata,Koeleria pyramidata,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Koeleria vallesiana,Koeleria vallesiana,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,5,5,8,3,7,5
Hemicryptophyte,Lactuca muralis,Lactuca muralis,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,7,4,5,5,6,5
Hemicryptophyte,Lactuca perennis,Lactuca perennis,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,4,5,8,3,7,6
Hemicryptophyte,Lactuca plumieri,Lactuca plumieri,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,7,5,5,5,5,5
Therophyte,Lactuca saligna,Lactuca saligna,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,5,8,6,6,7
Therophyte,Lactuca serriola,Lactuca serriola,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,6,6,6
Chamaephyte,Lactuca tenerrima,Lactuca tenerrima,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,5,7,7
Hemicryptophyte,Lactuca viminea subsp. chondrilliflora,Lactuca viminea,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,5,7,6
Therophyte,Lactuca virosa,Lactuca virosa,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,6,7,6
Hemicryptophyte,Lamium album,Lamium album,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Lamium amplexicaule,Lamium amplexicaule,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,6,6,6
Chamaephyte,Lamium galeobdolon subsp. montanum,Lamium galeobdolon,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,7,4,5,5,6,6
Hemicryptophyte,Lamium maculatum,Lamium maculatum,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,7,5,6,5,6,6
Therophyte,Lamium purpureum,Lamium purpureum,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,7,6,6
Therophyte,Laphangium luteoalbum,Laphangium luteoalbum,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,8,5,7,5,6,6
Therophyte,Lappula squarrosa,Lappula squarrosa,Boraginaceae,Boraginales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Lapsana communis,Lapsana communis,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,6,6,6
Hemicryptophyte,Laserpitium eliasii,Laserpitium eliasii,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,6,5,6,5,6,5
Hemicryptophyte,Laserpitium gallicum,Laserpitium gallicum,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Laserpitium latifolium subsp. merinoi,Laserpitium latifolium,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,6,5,6,5,6,5
Hemicryptophyte,Laserpitium latifolium subsp. latifolium,Laserpitium latifolium,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,6,5,6,5,6,5
Hemicryptophyte,Laserpitium nestleri subsp. nestleri,Laserpitium nestleri,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,6,5,6,4,6,5
Hemicryptophyte,Laserpitium nestleri subsp. flabellatum,Laserpitium nestleri,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,6,5,6,4,6,5
Hemicryptophyte,Laserpitium nestleri subsp. lainzii,Laserpitium nestleri,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,6,5,6,4,6,5
Hemicryptophyte,Laserpitium prutenicum subsp. dufourianum,Laserpitium prutenicum,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,7,4,7,3,4,6
Hemicryptophyte,Laserpitium siler,Laserpitium siler,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,6,5,6,5,6,5
Hemicryptophyte,Scorzonera hirsuta,Lasiospora hirsuta,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,5,8,3,6,5
Geophyte,Lathraea clandestina,Lathraea clandestina,Orobanchaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,8,4,5,5,6,5
Geophyte,Lathraea squamaria,Lathraea squamaria,Orobanchaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,8,5,6,6,6,5
Therophyte,Lathyrus angulatus,Lathyrus angulatus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,5,5,7
Therophyte,Lathyrus aphaca,Lathyrus aphaca,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,5,6,6
Hemicryptophyte,Lathyrus bauhinii,Lathyrus bauhinii,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Lathyrus cicera,Lathyrus cicera,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,6,7,7
Hemicryptophyte,Lathyrus filiformis,Lathyrus filiformis,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,5,5,7,4,7,6
Therophyte,Lathyrus hirsutus,Lathyrus hirsutus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Lathyrus laevigatus subsp. occidentalis,Lathyrus laevigatus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,7,4,5,5,5,5
Hemicryptophyte,Lathyrus latifolius,Lathyrus latifolius,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,5,6,5,6,6
Hemicryptophyte,Lathyrus linifolius,Lathyrus linifolius,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,4,6,4,5,6
Geophyte,Lathyrus niger,Lathyrus niger,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,5,6,5,5,5
Therophyte,Lathyrus nissolia,Lathyrus nissolia,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,7,4,7,5,6,6
Hemicryptophyte,Lathyrus palustris subsp. nudicaulis,Lathyrus palustris,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,5,6,5,6,5
Geophyte,Lathyrus pannonicus subsp. hispanicus,Lathyrus pannonicus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,4,6,6
Hemicryptophyte,Lathyrus pratensis,Lathyrus pratensis,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,7,5,7,5,6,5
Therophyte,Lathyrus setifolius,Lathyrus setifolius,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Lathyrus sphaericus,Lathyrus sphaericus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,5,5,7,4,5,7
Hemicryptophyte,Lathyrus sylvestris,Lathyrus sylvestris,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,4,6,4,5,6
Hemicryptophyte,Lathyrus tuberosus,Lathyrus tuberosus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,4,7,4,6,6
Phanerophyte,Laurus nobilis,Laurus nobilis,Lauraceae,Laurales,Magnoliopsida,Magnoliidae,Angiosperms,7,4,6,5,5,6
Chamaephyte,Lavandula pedunculata subsp. sampaiana,Lavandula pedunculata,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,5,4,7,3,5,7
Therophyte,Legousia hybrida,Legousia hybrida,Campanulaceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Legousia scabra,Legousia scabra,Campanulaceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,4,7,4,5,6
Hydrophyte,Lemna gibba,Lemna gibba,Araceae,Alismatales,Liliopsida,Monocots,Angiosperms,10,4,8,5,6,6
Hydrophyte,Lemna minor,Lemna minor,Araceae,Alismatales,Liliopsida,Monocots,Angiosperms,11,5,7,6,6,6
Therophyte,Lens nigricans,Lens nigricans,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,5,5,7,4,6,6
Hemicryptophyte,Leontodon bourgaeanus,Leontodon bourgaeanus,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,4,5,8,3,7,6
Hemicryptophyte,Leontodon farinosus,Leontodon farinosus,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,4,6,6
Hemicryptophyte,Leontodon hispidus,Leontodon hispidus,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,4,6,5
Therophyte,Leontodon saxatilis subsp. rothii,Leontodon saxatilis,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,4,7,4,5,6
Hemicryptophyte,Leontodon saxatilis subsp. saxatilis,Leontodon saxatilis,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,4,7,4,5,6
Hemicryptophyte,Leontodon tuberosus,Leontodon tuberosus,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,5,8,4,5,7
Geophyte,Leopoldia comosa,Leopoldia comosa,Asparagaceae,Asparagales,Liliopsida,Monocots,Angiosperms,5,5,7,5,6,6
Therophyte,Lepidium campestre,Lepidium campestre,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,5,6,6
Therophyte,Lepidium coronopus,Lepidium coronopus,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,7,6,6
Hemicryptophyte,Lepidium draba,Lepidium draba,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,6,7,6
Hemicryptophyte,Lepidium heterophyllum,Lepidium heterophyllum,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,6,6,6
Hemicryptophyte,Lepidium hirtum,Lepidium hirtum,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Lepidium ruderale,Lepidium ruderale,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Leucanthemopsis cuneata subsp. valdes-bermejoi,Leucanthemopsis cuneata,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Leucanthemopsis flaveola subsp. ricoi,Leucanthemopsis flaveola,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,4,5,8,3,3,5
Hemicryptophyte,Leucanthemum gaudinii subsp. cantabricum,Leucanthemum gaudinii,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,5,8,4,7,6
Hemicryptophyte,Leucanthemum ircutianum subsp. pseudosylvaticum,Leucanthemum ircutianum,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,4,7,4,6,6
Hemicryptophyte,Leucanthemum ircutianum subsp. cantabricum,Leucanthemum ircutianum,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,4,7,4,6,6
Hemicryptophyte,Leucanthemum maximum,Leucanthemum maximum,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,4,6,6
Hemicryptophyte,Leucanthemum pallens,Leucanthemum pallens,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,4,7,6
Hemicryptophyte,Leucanthemum vulgare subsp. eliasii,Leucanthemum vulgare,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,5,6,6
Hemicryptophyte,Ligusticum lucidum,Ligusticum lucidum,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,5,6,6
Phanerophyte,Ligustrum vulgare,Ligustrum vulgare,Oleaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,6,5,6,5,6,6
Geophyte,Lilium martagon,Lilium martagon,Liliaceae,Liliales,Liliopsida,Monocots,Angiosperms,7,5,5,5,5,5
Geophyte,Lilium pyrenaicum,Lilium pyrenaicum,Liliaceae,Liliales,Liliopsida,Monocots,Angiosperms,6,4,6,5,6,6
Geophyte,Limodorum abortivum,Limodorum abortivum,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Geophyte,Limodorum trabutianum,Limodorum trabutianum,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Limosella aquatica,Limosella aquatica,Scrophulariaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,8,4,7,4,6,5
Hemicryptophyte,Linaria aeruginea,Linaria aeruginea,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Linaria alpina,Linaria alpina,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,4,6,8,3,7,4
Hemicryptophyte,Linaria filicaulis,Linaria alpina,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,4,6,8,3,7,4
Therophyte,Linaria amethystea,Linaria amethystea,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,5,6,6
Therophyte,Linaria arvensis,Linaria arvensis,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Linaria badalii,Linaria badali,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,4,5,8,3,7,6
Hemicryptophyte,Linaria caesia,Linaria caesia,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,5,4,8,4,4,7
Therophyte,Linaria elegans,Linaria elegans,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,5,5,8,4,5,6
Hemicryptophyte,Linaria faucicola,Linaria faucicola,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Linaria micrantha,Linaria micrantha,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Linaria propinqua,Linaria propinqua,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,5,5,8,4,7,6
Chamaephyte,Linaria saxatilis,Linaria saxatilis,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,4,5,8,3,4,5
Therophyte,Linaria simplex,Linaria simplex,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,4,5,8,4,7,7
Therophyte,Linaria spartea,Linaria spartea,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,5,5,6
Hemicryptophyte,Linaria supina,Linaria supina,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,5,4,8,4,6,6
Hemicryptophyte,Linaria triornithophora,Linaria triornithophora,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,6,4,6,4,5,6
Hemicryptophyte,Linum alpinum,Linum alpinum,Linaceae,Malpighiales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Chamaephyte,Linum appressum subsp. appressum,Linum appressum,Linaceae,Malpighiales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,6
Chamaephyte,Linum appressum subsp. commutatum,Linum appressum,Linaceae,Malpighiales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,6
Hemicryptophyte,Linum bienne,Linum bienne,Linaceae,Malpighiales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,5,6,6
Therophyte,Linum catharticum,Linum catharticum,Linaceae,Malpighiales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,4,6,5
Chamaephyte,Linum narbonense subsp. barrasii,Linum narbonense,Linaceae,Malpighiales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,6
Therophyte,Linum strictum,Linum strictum,Linaceae,Malpighiales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,4,7,7
Therophyte,Linum trigynum,Linum trigynum,Linaceae,Malpighiales,Magnoliopsida,Superrosids,Angiosperms,4,5,8,3,6,7
Hemicryptophyte,Linum viscosum,Linum viscosum,Linaceae,Malpighiales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,4,6,6
Hemicryptophyte,Lithospermum officinale,Lithospermum officinale,Boraginaceae,Boraginales,Magnoliopsida,Superasterids,Angiosperms,7,5,6,6,6,6
Hydrophyte,Plantago uniflora,Littorella uniflora,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Lobelia urens,Lobelia urens,Campanulaceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,7,4,7,3,4,6
Hemicryptophyte,Lolium perenne,Lolium perenne,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,6,5,7,6,6,6
Therophyte,Lolium rigidum,Lolium rigidum,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,5,4,8,5,6,7
Phanerophyte,Lonicera etrusca,Lonicera etrusca,Caprifoliaceae,Dipsacales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,4,6,7
Phanerophyte,Lonicera periclymenum subsp. hispanica,Lonicera periclymenum,Caprifoliaceae,Dipsacales,Magnoliopsida,Superasterids,Angiosperms,7,4,6,5,5,6
Phanerophyte,Lonicera periclymenum subsp. periclymenum,Lonicera periclymenum,Caprifoliaceae,Dipsacales,Magnoliopsida,Superasterids,Angiosperms,7,4,6,5,5,6
Phanerophyte,Lonicera xylosteum,Lonicera xylosteum,Caprifoliaceae,Dipsacales,Magnoliopsida,Superasterids,Angiosperms,6,5,6,5,6,5
Hemicryptophyte,Lotus alpinus,Lotus alpinus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,5,8,3,5,4
Hemicryptophyte,Lotus corniculatus,Lotus corniculatus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,4,6,6
Hemicryptophyte,Lotus glareosus,Lotus glareosus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,4,4,8,3,4,7
Therophyte,Lotus hispidus,Lotus hispidus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,4,5,8,3,4,6
Hemicryptophyte,Lotus maritimus,Lotus maritimus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,6
Therophyte,Lotus parviflorus,Lotus parviflorus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Lotus pedunculatus,Lotus pedunculatus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,8,4,7,5,5,5
Hemicryptophyte,Lotus tenuis,Lotus tenuis,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,4,7,5,6,6
Helophyte,Ludwigia palustris,Ludwigia palustris,Onagraceae,Myrtales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Lupinus angustifolius,Lupinus angustifolius,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,5,5,7,5,5,7
Hemicryptophyte,Luzula caespitosa,Luzula caespitosa,Juncaceae,Poales,Liliopsida,Monocots,Angiosperms,5,6,8,3,4,4
Hemicryptophyte,Luzula campestris,Luzula campestris,Juncaceae,Poales,Liliopsida,Monocots,Angiosperms,6,4,7,4,5,5
Hemicryptophyte,Luzula congesta,Luzula congesta,Juncaceae,Poales,Liliopsida,Monocots,Angiosperms,9,5,7,3,4,5
Hemicryptophyte,Luzula desvauxii,Luzula desvauxii,Juncaceae,Poales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Luzula forsteri,Luzula forsteri,Juncaceae,Poales,Liliopsida,Monocots,Angiosperms,6,4,5,4,5,6
Hemicryptophyte,Luzula lactea,Luzula lactea,Juncaceae,Poales,Liliopsida,Monocots,Angiosperms,6,5,6,4,4,5
Hemicryptophyte,Luzula multiflora subsp. carpetana,Luzula multiflora,Juncaceae,Poales,Liliopsida,Monocots,Angiosperms,8,4,7,4,4,5
Hemicryptophyte,Luzula pediformis,Luzula pediformis,Juncaceae,Poales,Liliopsida,Monocots,Angiosperms,6,5,7,3,5,4
Hemicryptophyte,Luzula spicata,Luzula spicata,Juncaceae,Poales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Luzula sylvatica subsp. henriquesii,Luzula sylvatica,Juncaceae,Poales,Liliopsida,Monocots,Angiosperms,7,4,5,5,5,5
Hemicryptophyte,Lycopodiella inundata,Lycopodiella inundata,Lycopodiaceae,Lycopodiales,Lycopodiopsida,Pteridophytes,Pteridophytes,10,4,8,2,3,5
Chamaephyte,Lycopodium alpinum,Lycopodium alpinum,Lycopodiaceae,Lycopodiales,Lycopodiopsida,Pteridophytes,Pteridophytes,NA,NA,NA,NA,NA,NA
Chamaephyte,Lycopodium clavatum,Lycopodium clavatum,Lycopodiaceae,Lycopodiales,Lycopodiopsida,Pteridophytes,Pteridophytes,6,5,6,3,3,5
Hemicryptophyte,Lycopus europaeus,Lycopus europaeus,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,9,4,6,6,6,6
Hemicryptophyte,Lysimachia ephemerum,Lysimachia ephemerum,Primulaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Asterolinon linum-stellatum,Lysimachia linum-stellatum,Primulaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,4,5,7,4,6,7
Hemicryptophyte,Lysimachia nemorum,Lysimachia nemorum,Primulaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,7,4,5,5,5,5
Hemicryptophyte,Lysimachia vulgaris,Lysimachia vulgaris,Primulaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,9,5,7,6,6,6
Therophyte,Lythrum hyssopifolia,Lythrum hyssopifolia,Lythraceae,Myrtales,Magnoliopsida,Superrosids,Angiosperms,8,4,7,5,6,6
Chamaephyte,Lythrum junceum,Lythrum junceum,Lythraceae,Myrtales,Magnoliopsida,Superrosids,Angiosperms,8,4,7,5,6,6
Therophyte,Lythrum portula,Lythrum portula,Lythraceae,Myrtales,Magnoliopsida,Superrosids,Angiosperms,9,5,8,5,6,5
Hemicryptophyte,Lythrum salicaria,Lythrum salicaria,Lythraceae,Myrtales,Magnoliopsida,Superrosids,Angiosperms,9,4,7,6,6,6
Phanerophyte,Malus sylvestris,Malus sylvestris,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,6,5,6,5,5,6
Hemicryptophyte,Malva moschata,Malva moschata,Malvaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,5,6,6
Therophyte,Malva multiflora,Malva multiflora,Malvaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,6,6,6
Therophyte,Malva neglecta,Malva neglecta,Malvaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,7,6,6
Therophyte,Malva parviflora,Malva parviflora,Malvaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,5,5,7,7,6,6
Hemicryptophyte,Malva sylvestris,Malva sylvestris,Malvaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,6,6,6
Hemicryptophyte,Malva tournefortiana,Malva tournefortiana,Malvaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,6,7,6
Hemicryptophyte,Mantisalca salmantica,Mantisalca salmantica,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,4,7,6
Hemicryptophyte,Margotia gummifera,Margotia gummifera,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,6,4,7,4,5,6
Chamaephyte,Marrubium vulgare,Marrubium vulgare,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,5,5,8,6,7,6
Chamaephyte,Matthiola perennis,Matthiola fruticulosa,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,4,6,8,3,7,5
Chamaephyte,Matthiola fruticulosa,Matthiola fruticulosa,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,4,6,8,3,7,5
Therophyte,Medicago arabica,Medicago arabica,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,6,6,6
Hemicryptophyte,Medicago lupulina,Medicago lupulina,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,5,6,6
Therophyte,Medicago minima,Medicago minima,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,4,5,8,4,6,7
Therophyte,Medicago monspeliaca,Medicago monspeliaca,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Medicago orbicularis,Medicago orbicularis,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Medicago polymorpha,Medicago polymorpha,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,6,6,6
Therophyte,Medicago rigidula,Medicago rigidula,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Chamaephyte,Medicago suffruticosa,Medicago suffruticosa,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Melampyrum pratense,Melampyrum pratense,Orobanchaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,6,4,6,4,5,5
Hemicryptophyte,Melica ciliata subsp. magnolii,Melica ciliata,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,4,5,8,4,7,6
Hemicryptophyte,Melica ciliata subsp. ciliata,Melica ciliata,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,4,5,8,4,7,6
Hemicryptophyte,Melica uniflora,Melica uniflora,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,7,5,5,5,6,5
Therophyte,Melilotus albus,Melilotus albus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,4,8,6,6,6
Therophyte,Melilotus indicus,Melilotus indicus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,5,8,6,7,7
Therophyte,Melilotus neapolitanus,Melilotus neapolitanus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Melilotus officinalis,Melilotus officinalis,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,4,8,6,6,7
Hemicryptophyte,Melittis melissophyllum,Melittis melissophyllum,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,6,4,6,5,6,6
Hemicryptophyte,Mentha aquatica,Mentha aquatica,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,9,4,7,5,6,6
