Lifeform,Taxon,TPLName,family,order,class,clade,group,F,K,L,N,R,T
Chamaephyte,Daboecia cantabrica,Daboecia cantabrica,Ericaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,6,4,7,3,4,6
Hemicryptophyte,Dactylis glomerata subsp. glomerata,Dactylis glomerata,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,6,5,7,5,6,6
Hemicryptophyte,Dactylis glomerata subsp. hispanica,Dactylis glomerata,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,6,5,7,5,6,6
Geophyte,Dactylorhiza elata subsp. sesquipedalis,Dactylorhiza elata,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,8,5,7,4,6,5
Geophyte,Dactylorhiza fuchsii,Dactylorhiza fuchsii,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Geophyte,Dactylorhiza incarnata,Dactylorhiza incarnata,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,8,5,7,4,6,5
Geophyte,Dactylorhiza insularis,Dactylorhiza insularis,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Geophyte,Dactylorhiza maculata subsp. maculata,Dactylorhiza maculata,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,8,4,7,4,4,5
Geophyte,Dactylorhiza maculata subsp. elodes,Dactylorhiza maculata,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,8,4,7,4,4,5
Geophyte,Dactylorhiza maculata subsp. ericetorum,Dactylorhiza maculata,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,8,4,7,4,4,5
Geophyte,Dactylorhiza majalis,Dactylorhiza majalis,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,9,5,7,4,5,5
